City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,teacapan,22.55,-105.75,78.76,47,100,12.21,MX,1679164439
278,svetlogorsk,52.6333,29.7333,34.25,58,6,6.96,BY,1679164360
279,ayr,55.4627,-4.6339,46.31,93,75,4.61,GB,1679164440
280,maniwaki,46.3834,-75.966,34.18,51,100,9.22,CA,1679164441
281,morehead,37.2711,-87.1764,41.99,49,75,14.97,US,1679164443
282,laguna,38.421,-121.4238,68.97,62,0,4.61,US,1679164444
283,luziania,-16.2525,-47.9503,80.29,61,100,6.64,BR,1679164445
284,kuching,1.55,110.3333,80.04,91,40,2.3,MY,1679164445
285,hernani,43.2662,-1.9762,57.42,83,75,11.5,ES,1679164446
286,tonantins,-2.8731,-67.8022,92.23,51,99,1.03,BR,1679164446
287,kununurra,-15.7667,128.7333,76.98,88,40,0.0,AU,1679164447
288,general roca,-39.0333,-67.5833,60.64,77,100,11.34,AR,1679164448
289,mackay,-21.15,149.2,77.68,69,100,16.31,AU,1679164448
290,lakatoro,-16.0999,167.4164,79.27,84,79,4.43,VU,1679164449
291,luderitz,-26.6481,15.1594,63.19,80,100,7.31,NA,1679164450
292,caraballeda,10.6112,-66.8522,90.86,52,31,16.11,VE,1679164451
293,teknaf,20.8624,92.3058,72.75,72,50,4.52,BD,1679164452
294,bodinayakkanur,10.0167,77.35,73.6,85,95,1.23,IN,1679164453
295,shakawe,-18.3667,21.85,72.52,52,2,6.35,BW,1679164453
296,khandagayty,50.7333,92.05,11.17,85,21,5.66,RU,1679164454
297,paraiso,9.8383,-83.8656,78.42,76,45,3.67,CR,1679164455
298,altamira,-3.2033,-52.2064,89.69,55,75,5.75,BR,1679164455
299,banjar,-8.19,114.9675,77.07,91,100,2.48,ID,1679164456
300,varkkallai,8.7341,76.7067,83.98,80,6,1.07,IN,1679164457
301,artesia,33.8658,-118.0831,77.49,34,0,16.11,US,1679164458
302,pithoragarh,29.5833,80.2167,45.64,89,85,2.66,IN,1679164458
303,saskylakh,71.9167,114.0833,-25.31,94,100,12.91,RU,1679164459
304,sabang,5.8933,95.3214,81.3,80,100,13.65,ID,1679164460
305,mandalgovi,45.7625,106.2708,23.65,41,0,3.74,MN,1679164461
306,pochutla,15.7432,-96.4661,86.83,44,5,11.18,MX,1679164462
307,brae,60.3964,-1.353,41.83,75,100,22.64,GB,1679164463
308,sisimiut,66.9395,-53.6735,26.51,83,100,3.47,GL,1679164463
309,bairiki,1.3292,172.9752,77.0,94,40,4.61,KI,1679164464
310,jalu,29.0331,21.5482,62.13,40,0,6.46,LY,1679164464
311,saint-francois,46.4154,3.9054,51.24,76,0,5.75,FR,1679164465
312,tumut,-35.3,148.2167,69.19,36,100,4.27,AU,1679164465
313,luganville,-15.5333,167.1667,77.09,87,90,2.46,VU,1679164467
314,puerto ayacucho,5.6639,-67.6236,100.27,25,100,5.08,VE,1679164467
315,agnibilekrou,7.1344,-3.2047,76.28,74,100,3.49,CI,1679164469
316,vao,-22.6667,167.4833,77.58,85,44,23.0,NC,1679164469
317,abu samrah,35.3029,37.1841,50.49,88,95,14.03,SY,1679164471
318,mako,46.2167,20.4833,44.02,62,77,8.95,HU,1679164471
319,aguimes,27.9054,-15.4461,66.83,56,40,26.46,ES,1679164474
320,sompeta,18.9333,84.6,72.41,83,100,2.33,IN,1679164475
321,portland,45.5234,-122.6762,60.33,53,27,5.99,US,1679164203
322,bani,18.2833,-70.3333,85.44,51,34,17.49,DO,1679164476
323,nouadhibou,20.931,-17.0347,69.78,68,0,18.41,MR,1679164477
324,goderich,43.7501,-81.7165,24.91,68,100,24.16,CA,1679164478
325,bohicon,7.1783,2.0667,82.56,66,100,7.25,BJ,1679164480
326,leiyang,26.4024,112.8591,48.07,87,100,4.59,CN,1679164481
327,dawei,14.0833,98.2,74.34,91,2,1.79,MM,1679164481
